ITEM, LINK, PRICE
5m of 60/m ws2812b strip (this is was the cheapest; i only need a 100 leds), https://www.olx.ro/d/oferta/banda-led-digitala-model-ws2812b-IDjIhgU.html, 16$
xiao esp32c3, https://www.kiwi-electronics.com/en/seeed-studio-xiao-esp32c3-11039, 8$
power bank(maybe idk if its allowed; I don't have one currently), https://www.vexio.ro/baterii-externe-powerbank/xiaomi/491428-20000mah-redmi-18w-fast-charge-power-bank-black/, 21$
100 pingpong balls, https://www.e4home.ro/my-hood-901022-mingi-de-tenis-de-masa-100-bucati/, 29$
